OT6 BREAK-FLOOR CLASSIFIER -- REVIEW DUMP
GENERATED by tools/gen_break_floor.py -- do not edit by hand.

SUMMARY COUNTS (floor-live species only)
  total species          : 384
  AUTHORED (Ot6ShieldTbl): 74  <- never reach the floor; excluded below
  floor-live             : 310
  PIERCE   ($02)  : 54
  SLASH    ($01)  : 238
  BLUDGEON ($04)  : 18
  by origin: explicit 1 / inferred 88 / defaulted 221

PRECEDENCE: PIERCE > BLUDGEON > SLASH > DEFAULT(->SLASH)
ORIGIN: AUTHORED = has an Ot6ShieldTbl row (floor byte unreachable);
        explicit = OVERRIDES exact-name hit; inferred = keyword substring;
        defaulted = nothing matched, slash fallback.

FULL ASSIGNMENT TABLE
 id | name         | class    | origin    | rule_matched
------------------------------------------------------------------
  0 | Guard        | PIERCE   | AUTHORED  | PIERCE:guard
  1 | Soldier      | PIERCE   | AUTHORED  | PIERCE:soldier
  2 | Templar      | PIERCE   | AUTHORED  | PIERCE:templar
  3 | Ninja        | SLASH    | defaulted | DEFAULT
  4 | Samurai      | SLASH    | defaulted | DEFAULT
  5 | Orog         | BLUDGEON | inferred  | BLUDGEON:orog
  6 | Mag Roader   | SLASH    | AUTHORED  | DEFAULT
  7 | Retainer     | PIERCE   | inferred  | PIERCE:retainer
  8 | Hazer        | SLASH    | defaulted | DEFAULT
  9 | Dahling      | SLASH    | defaulted | DEFAULT
 10 | Rain Man     | SLASH    | defaulted | DEFAULT
 11 | Brawler      | BLUDGEON | AUTHORED  | BLUDGEON:brawler
 12 | Apokryphos   | SLASH    | defaulted | DEFAULT
 13 | Dark Force   | SLASH    | defaulted | DEFAULT
 14 | Whisper      | SLASH    | defaulted | DEFAULT
 15 | Over-Mind    | SLASH    | defaulted | DEFAULT
 16 | Osteosaur    | PIERCE   | inferred  | PIERCE:saur
 17 | Commander    | PIERCE   | inferred  | PIERCE:commander
 18 | Rhodox       | SLASH    | defaulted | DEFAULT
 19 | Were-Rat     | SLASH    | inferred  | SLASH:rat
 20 | Ursus        | SLASH    | defaulted | DEFAULT
 21 | Rhinotaur    | SLASH    | inferred  | SLASH:rhino
 22 | Steroidite   | BLUDGEON | inferred  | BLUDGEON:steroidite
 23 | Leafer       | SLASH    | inferred  | SLASH:leaf
 24 | Stray Cat    | SLASH    | inferred  | SLASH:cat
 25 | Lobo         | SLASH    | AUTHORED  | DEFAULT
 26 | Doberman     | SLASH    | AUTHORED  | DEFAULT
 27 | Vomammoth    | SLASH    | defaulted | DEFAULT
 28 | Fidor        | SLASH    | defaulted | DEFAULT
 29 | Baskervor    | SLASH    | defaulted | DEFAULT
 30 | Suriander    | SLASH    | defaulted | DEFAULT
 31 | Chimera      | SLASH    | defaulted | DEFAULT
 32 | Behemoth     | SLASH    | defaulted | DEFAULT
 33 | Mesosaur     | PIERCE   | inferred  | PIERCE:saur
 34 | Pterodon     | PIERCE   | inferred  | PIERCE:ptero
 35 | FossilFang   | PIERCE   | inferred  | PIERCE:fossil
 36 | White Drgn   | PIERCE   | inferred  | PIERCE:drgn
 37 | Doom Drgn    | PIERCE   | inferred  | PIERCE:drgn
 38 | Brachosaur   | PIERCE   | inferred  | PIERCE:brach
 39 | Tyranosaur   | PIERCE   | inferred  | PIERCE:tyrano
 40 | Dark Wind    | SLASH    | defaulted | DEFAULT
 41 | Beakor       | SLASH    | defaulted | DEFAULT
 42 | Vulture      | SLASH    | defaulted | DEFAULT
 43 | Harpy        | SLASH    | inferred  | SLASH:harpy
 44 | HermitCrab   | PIERCE   | inferred  | PIERCE:crab
 45 | Trapper      | SLASH    | AUTHORED  | DEFAULT
 46 | Hornet       | PIERCE   | inferred  | PIERCE:hornet
 47 | CrassHoppr   | PIERCE   | inferred  | PIERCE:hoppr
 48 | Delta Bug    | PIERCE   | inferred  | PIERCE:delta
 49 | Gilomantis   | PIERCE   | inferred  | PIERCE:mantis
 50 | Trilium      | SLASH    | defaulted | DEFAULT
 51 | Nightshade   | SLASH    | defaulted | DEFAULT
 52 | TumbleWeed   | SLASH    | defaulted | DEFAULT
 53 | Bloompire    | SLASH    | defaulted | DEFAULT
 54 | Trilobiter   | PIERCE   | inferred  | PIERCE:trilob
 55 | Siegfried    | SLASH    | defaulted | DEFAULT
 56 | Nautiloid    | PIERCE   | inferred  | PIERCE:nautilo
 57 | Exocite      | PIERCE   | inferred  | PIERCE:exocite
 58 | Anguiform    | SLASH    | AUTHORED  | SLASH:anguiform
 59 | Reach Frog   | SLASH    | defaulted | DEFAULT
 60 | Lizard       | SLASH    | inferred  | SLASH:lizard
 61 | ChickenLip   | SLASH    | defaulted | DEFAULT
 62 | Hoover       | SLASH    | defaulted | DEFAULT
 63 | Rider        | PIERCE   | AUTHORED  | PIERCE:rider
 64 | Chupon       | SLASH    | defaulted | DEFAULT
 65 | Pipsqueak    | SLASH    | AUTHORED  | DEFAULT
 66 | M-TekArmor   | PIERCE   | inferred  | PIERCE:armor
 67 | Sky Armor    | PIERCE   | inferred  | PIERCE:armor
 68 | Telstar      | PIERCE   | AUTHORED  | PIERCE:telstar
 69 | Lethal Wpn   | SLASH    | defaulted | DEFAULT
 70 | Vaporite     | BLUDGEON | inferred  | BLUDGEON:vaporite
 71 | Flan         | BLUDGEON | AUTHORED  | BLUDGEON:flan
 72 | Ing          | SLASH    | defaulted | DEFAULT
 73 | Humpty       | SLASH    | defaulted | DEFAULT
 74 | Brainpan     | SLASH    | defaulted | DEFAULT
 75 | Cruller      | SLASH    | defaulted | DEFAULT
 76 | Cactrot      | SLASH    | defaulted | DEFAULT
 77 | Repo Man     | SLASH    | defaulted | DEFAULT
 78 | Harvester    | SLASH    | AUTHORED  | DEFAULT
 79 | Bomb         | SLASH    | defaulted | DEFAULT
 80 | Still Life   | SLASH    | defaulted | DEFAULT
 81 | Boxed Set    | SLASH    | defaulted | DEFAULT
 82 | SlamDancer   | BLUDGEON | AUTHORED  | BLUDGEON:slamdancer
 83 | HadesGigas   | BLUDGEON | AUTHORED  | BLUDGEON:gigas
 84 | Pug          | BLUDGEON | inferred  | BLUDGEON:pug
 85 | Magic Urn    | SLASH    | defaulted | DEFAULT
 86 | Mover        | SLASH    | defaulted | DEFAULT
 87 | Figaliz      | SLASH    | defaulted | DEFAULT
 88 | Buffalax     | SLASH    | defaulted | DEFAULT
 89 | Aspik        | BLUDGEON | AUTHORED  | BLUDGEON:aspik
 90 | Ghost        | SLASH    | defaulted | DEFAULT
 91 | Crawler      | SLASH    | defaulted | DEFAULT
 92 | Sand Ray     | SLASH    | defaulted | DEFAULT
 93 | Areneid      | SLASH    | defaulted | DEFAULT
 94 | Actaneon     | SLASH    | AUTHORED  | DEFAULT
 95 | Sand Horse   | SLASH    | defaulted | DEFAULT
 96 | Dark Side    | SLASH    | defaulted | DEFAULT
 97 | Mad Oscar    | SLASH    | defaulted | DEFAULT
 98 | Crawly       | SLASH    | defaulted | DEFAULT
 99 | Bleary       | SLASH    | defaulted | DEFAULT
100 | Marshal      | PIERCE   | AUTHORED  | PIERCE:marshal
101 | Trooper      | PIERCE   | AUTHORED  | PIERCE:trooper
102 | General      | PIERCE   | AUTHORED  | PIERCE:general
103 | Covert       | PIERCE   | inferred  | PIERCE:covert
104 | Ogor         | BLUDGEON | inferred  | BLUDGEON:ogor
105 | Warlock      | SLASH    | defaulted | DEFAULT
106 | Madam        | SLASH    | defaulted | DEFAULT
107 | Joker        | SLASH    | defaulted | DEFAULT
108 | Iron Fist    | BLUDGEON | AUTHORED  | BLUDGEON:override
109 | Goblin       | SLASH    | defaulted | DEFAULT
110 | Apparite     | SLASH    | defaulted | DEFAULT
111 | PowerDemon   | SLASH    | defaulted | DEFAULT
112 | Displayer    | SLASH    | defaulted | DEFAULT
113 | Vector Pup   | SLASH    | defaulted | DEFAULT
114 | Peepers      | SLASH    | defaulted | DEFAULT
115 | Sewer Rat    | SLASH    | inferred  | SLASH:rat
116 | Slatter      | SLASH    | defaulted | DEFAULT
117 | Rhinox       | SLASH    | AUTHORED  | SLASH:rhino
118 | Rhobite      | SLASH    | defaulted | DEFAULT
119 | Wild Cat     | SLASH    | inferred  | SLASH:cat
120 | Red Fang     | SLASH    | defaulted | DEFAULT
121 | Bounty Man   | SLASH    | defaulted | DEFAULT
122 | Tusker       | SLASH    | AUTHORED  | DEFAULT
123 | Ralph        | SLASH    | defaulted | DEFAULT
124 | Chitonid     | PIERCE   | inferred  | PIERCE:chiton
125 | Wart Puck    | SLASH    | defaulted | DEFAULT
126 | Rhyos        | SLASH    | defaulted | DEFAULT
127 | SrBehemoth   | SLASH    | defaulted | DEFAULT
128 | Vectaur      | SLASH    | defaulted | DEFAULT
129 | Wyvern       | PIERCE   | inferred  | PIERCE:wyvern
130 | Zombone      | BLUDGEON | inferred  | BLUDGEON:bone
131 | Dragon       | PIERCE   | inferred  | PIERCE:dragon
132 | Brontaur     | SLASH    | defaulted | DEFAULT
133 | Allosaurus   | PIERCE   | inferred  | PIERCE:saur
134 | Cirpius      | SLASH    | AUTHORED  | DEFAULT
135 | Sprinter     | SLASH    | defaulted | DEFAULT
136 | Gobbler      | SLASH    | AUTHORED  | DEFAULT
137 | Harpiai      | SLASH    | defaulted | DEFAULT
138 | GloomShell   | PIERCE   | inferred  | PIERCE:shell
139 | Drop         | SLASH    | defaulted | DEFAULT
140 | Mind Candy   | SLASH    | defaulted | DEFAULT
141 | WeedFeeder   | SLASH    | defaulted | DEFAULT
142 | Luridan      | SLASH    | defaulted | DEFAULT
143 | Toe Cutter   | SLASH    | defaulted | DEFAULT
144 | Over Grunk   | SLASH    | defaulted | DEFAULT
145 | Exoray       | SLASH    | defaulted | DEFAULT
146 | Crusher      | SLASH    | defaulted | DEFAULT
147 | Uroburos     | SLASH    | defaulted | DEFAULT
148 | Primordite   | BLUDGEON | inferred  | BLUDGEON:primordite
149 | Sky Cap      | SLASH    | defaulted | DEFAULT
150 | Cephaler     | SLASH    | defaulted | DEFAULT
151 | Maliga       | SLASH    | defaulted | DEFAULT
152 | Gigan Toad   | SLASH    | defaulted | DEFAULT
153 | Geckorex     | SLASH    | inferred  | SLASH:gecko
154 | Cluck        | SLASH    | defaulted | DEFAULT
155 | Land Worm    | SLASH    | inferred  | SLASH:worm
156 | Test Rider   | PIERCE   | inferred  | PIERCE:rider
157 | PlutoArmor   | PIERCE   | inferred  | PIERCE:armor
158 | Tomb Thumb   | SLASH    | defaulted | DEFAULT
159 | HeavyArmor   | PIERCE   | AUTHORED  | PIERCE:armor
160 | Chaser       | PIERCE   | AUTHORED  | PIERCE:chaser
161 | Scullion     | SLASH    | inferred  | SLASH:lion
162 | Poplium      | SLASH    | defaulted | DEFAULT
163 | Intangir     | SLASH    | defaulted | DEFAULT
164 | Misfit       | SLASH    | defaulted | DEFAULT
165 | Eland        | SLASH    | defaulted | DEFAULT
166 | Enuo         | SLASH    | defaulted | DEFAULT
167 | Deep Eye     | SLASH    | defaulted | DEFAULT
168 | GreaseMonk   | BLUDGEON | inferred  | BLUDGEON:monk
169 | NeckHunter   | SLASH    | defaulted | DEFAULT
170 | Grenade      | SLASH    | defaulted | DEFAULT
171 | Critic       | SLASH    | defaulted | DEFAULT
172 | Pan Dora     | SLASH    | defaulted | DEFAULT
173 | SoulDancer   | SLASH    | defaulted | DEFAULT
174 | Gigantos     | BLUDGEON | inferred  | BLUDGEON:gigant
175 | Mag Roader   | SLASH    | AUTHORED  | DEFAULT
176 | Spek Tor     | SLASH    | defaulted | DEFAULT
177 | Parasite     | SLASH    | defaulted | DEFAULT
178 | EarthGuard   | PIERCE   | inferred  | PIERCE:guard
179 | Coelecite    | BLUDGEON | inferred  | BLUDGEON:coelecite
